Simmer1_ ready;SIM1_ERR;MV270_ERR
Simmer2_ready;SIM2_ERR;MV100_ERR
DISCHG_OUT;UB_ERR;MV85_ERR
UB_TooHigh;LNG_ERR;PFC430_ERR
.;IG_TMP_ERR;PFC450_ERR
.;IGBT_drv_Error;PFC375_ERR
.;SCR_Fired;PFC350_ERR
.;Crowbar_Fired;U400_ERR
PS_Ready;PS_NotReady;U800_ERR
.;ERR_48V;U48_ERR
.;ERR_15V;POWER_ERR
.;SCR_Disable;FREQ_ERR
.;.;PFCT70_ERR
.;.;RES1T70_ERR
.;.;RES2T70_ERR
.;.;PFCT80_ERR
.;.;RES1T80_ERR
.;.;RES2T80_ERR
.;.;FANPFCR_ERR
.;.;FANPFCS_ERR
.;.;FANRESR_ERR
.;.;FANRESS_ERR
.;.;FANRESU_ERR
.;.;FANPFCU_ERR
